,Point No.,Time [s],Shear Rate [1/s],Shear Stress [Pa],Viscosity [mPa·s],Torque [µN·m],Status
0,1,10,0.01,0.00077704,77.7,0.025466,Dy_auto
1,2,20,0.0147,0.00080057,54.5,0.026237,Dy_auto
2,3,30,0.0215,0.0010171,47.2,0.033333,Dy_auto
3,4,40,0.0316,0.0011028,34.9,0.036143,Dy_auto
4,5,50,0.0464,0.0011559,24.9,0.037882,Dy_auto
5,6,60,0.0681,0.001744,25.6,0.057156,Dy_auto
6,7,70,0.1,0.0024196,24.2,0.079298,Dy_auto
7,8,80,0.147,0.0029231,19.9,0.095801,Dy_auto
8,9,90,0.215,0.0041898,19.4,0.13731,Dy_auto
9,10,100,0.316,0.0060906,19.3,0.19961,Dy_auto
10,11,110,0.464,0.0089082,19.2,0.29195,Dy_auto
11,12,120,0.681,0.012678,18.6,0.41551,Dy_auto
12,13,130,1,0.018118,18.1,0.59378,Dy_auto
13,14,140,1.47,0.025604,17.4,0.83912,Dy_auto
14,15,150,2.15,0.03528,16.4,1.1562,Dy_auto
15,16,160,3.16,0.048582,15.4,1.5922,Dy_auto
16,17,170,4.64,0.068653,14.8,2.25,Dy_auto
17,18,180,6.81,0.10694,15.7,3.5046,Dy_auto
18,19,190,10,0.15265,15.3,5.0028,Dy_auto
19,20,200,14.7,0.22811,15.5,7.476,Dy_auto
20,21,210,21.5,0.33297,15.5,10.913,Dy_auto
21,22,220,31.6,0.48799,15.4,15.993,Dy_auto
22,23,230,46.4,0.71587,15.4,23.461,Dy_auto
23,24,240,68.1,1.0512,15.4,34.451,Dy_auto
24,25,250,100,1.5424,15.4,50.551,Dy_auto
