,Point No.,Time [s],Shear Rate [1/s],Shear Stress [Pa],Viscosity [mPa·s],Torque [µN·m],Status
0,1,10,0.01,-0.0016237,-162.4,-0.053214,Dy_auto
1,2,20,0.0147,-0.0014088,-96,-0.04617,Dy_auto
2,3,30,0.0215,-0.0012089,-56.1,-0.039619,Dy_auto
3,4,40,0.0316,-0.00082574,-26.1,-0.027062,Dy_auto
4,5,50,0.0464,-0.00066123,-14.2,-0.021671,Dy_auto
5,6,60,0.0681,-0.00062043,-9.1,-0.020334,Dy_auto
6,7,70,0.1,0.00011269,1.1,0.0036933,Dy_auto
7,8,80,0.147,0.00088834,6.1,0.029114,Dy_auto
8,9,90,0.215,0.0020161,9.4,0.066074,Dy_auto
9,10,100,0.316,0.0040137,12.7,0.13154,Dy_auto
10,11,110,0.464,0.0068494,14.8,0.22448,Dy_auto
11,12,120,0.681,0.010852,15.9,0.35565,Dy_auto
12,13,130,1,0.016638,16.6,0.54528,Dy_auto
13,14,140,1.47,0.026144,17.8,0.85681,Dy_auto
14,15,150,2.15,0.041581,19.3,1.3627,Dy_auto
15,16,160,3.16,0.064385,20.4,2.1101,Dy_auto
16,17,170,4.64,0.095098,20.5,3.1167,Dy_auto
17,18,180,6.81,0.13309,19.5,4.3619,Dy_auto
18,19,190,10,0.20121,20.1,6.5943,Dy_auto
19,20,200,14.7,0.29092,19.8,9.5345,Dy_auto
20,21,210,21.5,0.42885,19.9,14.055,Dy_auto
21,22,220,31.6,0.62938,19.9,20.627,Dy_auto
22,23,230,46.4,0.92405,19.9,30.284,Dy_auto
23,24,240,68.1,1.3557,19.9,44.432,Dy_auto
24,25,250,100,1.9912,19.9,65.257,Dy_auto
