,Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
0,1,10,0.01,-0.00099537,-99.6,-0.032621,Dy_auto
1,2,20,0.0147,-0.00079796,-54.4,-0.026152,Dy_auto
2,3,30,0.0215,-0.00050537,-23.5,-0.016563,Dy_auto
3,4,40,0.0316,-0.00017592,-5.6,-0.0057656,Dy_auto
4,5,50,0.0464,0.00019768,4.3,0.0064785,Dy_auto
5,6,60,0.0681,0.0011611,17,0.038053,Dy_auto
6,7,70,0.1,0.0017099,17.1,0.056039,Dy_auto
7,8,80,0.147,0.0026689,18.2,0.087469,Dy_auto
8,9,90,0.215,0.0041698,19.4,0.13666,Dy_auto
9,10,100,0.316,0.0072351,22.9,0.23712,Dy_auto
10,11,110,0.464,0.011334,24.4,0.37144,Dy_auto
11,12,120,0.681,0.017672,25.9,0.57916,Dy_auto
12,13,130,1,0.027479,27.5,0.90057,Dy_auto
13,14,140,1.47,0.041099,28,1.3469,Dy_auto
14,15,150,2.15,0.059942,27.8,1.9645,Dy_auto
15,16,160,3.16,0.085279,27,2.7949,Dy_auto
16,17,170,4.64,0.12049,26,3.9488,Dy_auto
17,18,180,6.81,0.18009,26.4,5.9022,Dy_auto
18,19,190,10,0.2648,26.5,8.6784,Dy_auto
19,20,200,14.7,0.39076,26.6,12.806,Dy_auto
20,21,210,21.5,0.57164,26.5,18.734,Dy_auto
21,22,220,31.6,0.83714,26.5,27.436,Dy_auto
22,23,230,46.4,1.2289,26.5,40.275,Dy_auto
23,24,240,68.1,1.8036,26.5,59.109,Dy_auto
24,25,250,100,2.6479,26.5,86.781,Dy_auto
